Case UPC,Item UPC,Client,Pack / Size / UOM,Item Description,DBW Group,Primary PG,Secondary DBW Group,Units to Cases - (Case Count)
24555,24555,JMSMUC,6 / 26 / OZ,SMUCKERS CRMY ORG PB,LP403214,SM NAT PB 26 OZ,FHS SM,6
92100,92100,JMSMUC,120 / 1.1 / OZ,JIF PC PNT BTTR,,JF PB 1.1 OZ,FHS JF,120
51354,51354,JMSMUC,12 / 15 / OZ,JIF PNUT BTR/CHOC CRUNCHY,,JF PB CHOC 15-29.5 OZ,FHS JF,12
299,299,JMSMUC,6 / 3.7 / OZ,DN GR DEC ORGNL 10 K-CUP,LP401400,DN KCUP 10 CT,COFFEE DN,6
25499,25499,JMSMUC,8 / 40 / OZ,JIF RF CRMY PNT BTTR,LP403520,JF PG 40 OZ,FHS JF,8
72520,72520,JMSMUC,10 / 27.3 / OZ,JIF SIMPLY JIF CRMY PB,LP403523,JF PB 28 OZ,FHS JF,10
68498,,JMSMUC,308 / 1 / EA,JIF SM SPRDS QTR DP,LP403529,DISPLAYS / PALLETS / SHIPPERS,FHS JF,308
25482,25482,JMSMUC,7 / 4.5 / OZ,MB PB BITES PB DT,LP403811,MKB SOFT CHWY BITES 4.5 OZ,PET MKB,7
24545,24545,JMSMUC,10 / 13 / OZ,JIF SQUEEZABLE POUCH,LP402948,JF SQUEEZE 13 OZ,FHS JF,10
24552,24545,JMSMUC,30 / 13 / OZ,JIF SQUEEZE DISPLAY,LP403070,COFF SHIPPERS/DISPLAYS/PALLETS,FHS JF,30
25518,25518,JMSMUC,12 / 16 / OZ,JIF RF CRMY PNT BTTR,LP403526,JF PB 16 OZ,FHS JF,12
27384,24523,JMSMUC,48 / 5 / OZ,JIF SQZ PNT BTR DUMP PLT,LP403748,COFF SHIPPERS/DISPLAYS/PALLETS,FHS JF,48
25537,25537,JMSMUC,12 / 16 / OZ,JIF CRUNCHY PEANUT BTTR,LP403527,JF PB 16 OZ,FHS JF,12
24139,24136,JMSMUC,36 / 12 / OZ,JIF TO GO CREAMY DISPLAY,LP401062,COFF SHIPPERS/DISPLAYS/PALLETS,FHS JF,36
300,300,JMSMUC,6 / 3.7 / OZ,DN GR FRNCH VAN 10 K-CUP,LP401400,DN KCUP 10 CT,COFFEE DN,6
728,728,JMSMUC,12 / 16 / OZ,KBF BOYSENBERRY PRES,LP401042,KB FRUIT SPREAD 14-16 OZ,,12
770,770,JMSMUC,12 / 16 / OZ,KBF SDLS BLKBRY JAM,LP401042,KB FRUIT SPREAD 14-16 OZ,,12
25572,25516,JMSMUC,360 / 16 / OZ,JIF CREAMY PNT BTR DRP,LP401103,COFF SHIPPERS/DISPLAYS/PALLETS,FHS JF,360
25574,25574,JMSMUC,12 / 16 / OZ,JIF NATURAL CRUNCHY PBTR,LP403525,JF PB 16 OZ,FHS JF,12
25578,25578,JMSMUC,12 / 16 / OZ,JIF NAT CRMY PNT BTTR HNY,LP403525,JF PB 16 OZ,FHS SM,12
25589,25589,JMSMUC,3 / 96 / OZ,FOLGERS FRIDGE PACK RTD,LP403538,FG FRIDGE PK RTD 96 OZ,COFFEE FG,3
772,772,JMSMUC,12 / 16 / OZ,KBF SDLS BOYSEN JAM,LP401042,KB FRUIT SPREAD 14-16 OZ,,12
25889,43216,JMSMUC,9 / 10 / OZ,MILK-BONE STKD MOL PB DT,LP403386,MKB MARO 25 OZ,PET MKB,9
26129,26129,JMSMUC,12 / 24 / OZ,MKB ORIG SM BISC SUPERMAN,LP404606,MKB TREATS 22-25 OZ,PET MKB,12
26198,26198,JMSMUC,5 / 7.4 / OZ,MKB PILL POUCH BACON,,MKB PILL POUCH 6 - 7.6 OZ,PET MKB,5
301,301,JMSMUC,6 / 3.7 / OZ,DN GR HAZELNUT 10CT K-CUP,LP401400,DN KCUP 10 CT,COFFEE DN,6
778,778,JMSMUC,12 / 16 / OZ,KBF SDLS RASPBERRY JAM,LP401042,KB FRUIT SPREAD 14-16 OZ,,12
26500,26500,JMSMUC,2 / 4 / LB,MKB ORIG MED BISCUITS,LP400908,MKB ORG BISCUITS 4 LB,PET MKB,2
26635,26635,JMSMUC,5 / 7.4 / OZ,MILK-BONE CMFT CHW BF DT,LP403627,MKB CHWS 7.4 OZ,PET MKB,5
768,768,JMSMUC,12 / 16 / OZ,KBF SDLS STWBRY JAM,LP401041,KB FRUIT SPREAD 14-16 OZ,,12
26753,26753,JMSMUC,1 / 26 / LB,MEOW MIX ORGL DRY CAT,LP403435,MM DRY EX LRG BAG 22 LB,PET MM,1
6823,6823,JMSMUC,6 / 26 / OZ,LAURA SCDDR PNUT BTR SMTH,LP400988,LS PB 26 OZ,,6
6939,6939,JMSMUC,6 / 26 / OZ,LAURA SCUDDER NUTTY PBTR,LP400988,LS PB 26 OZ,,6
27519,27519,JMSMUC,12 / 24 / OZ,MKB ORIG MED BISC BRNS,LP400870,MKB BISCUITS HIGH TIER 16-24 O,PET MKB,12
27540,27540,JMSMUC,8 / 24 / OZ,MKB XMAS TIN SM BNE NTL,LP403001,MKB BISCUITS 16-24 OZ HLDY TIN,PET MKB,8
27560,27560,JMSMUC,6 / 40 / OZ,MKB ORNG MARO SNACK CNST,LP403000,MKB PUP PACKS 20 OZ,PET MKB,6
338,338,JMSMUC,6 / 8.25 / LB,SMCKR 10 TIN GRAPE JELLY,,SM TIN 8.25 LB,FHS SM,6
27753,27753,JMSMUC,4 / 7.19 / OZ,BSTL MEXICO BLN 24 K-CUP,LP402959,BS KCUP 24,COFFEE BS,4
24477,5004,JMSMUC,6 / 16 / OZ,LS  SMOOTH ORGNC PBTR,LP400990,LS PB 16 OZ,,6
28051,28051,JMSMUC,5 / 7.4 / OZ,MKB PILL POUCH CHICKEN,,MKB PILL POUCH 6 - 7.6 OZ,PET MKB,5
28885,1802,JMSMUC,6 / 16 / OZ,BUSTELO SUPREME WB CFFE,LP401593,BS SPRM PPK 16 OZ,COFFEE BS,6
28958,28958,JMSMUC,1 / 14.2 / LB,MM TND CNTRS SMN CHKN,LP404523,MM TENDER CENTERS PLT 14.2 LB,PET MM,1
28996,28996,JMSMUC,4 / 8.88 / OZ,BSTL ESPRSO 24 K-CUP ST1,LP402013,BS KCUP 24,COFFEE BS,4
29000,29000,JMSMUC,6 / 4.44 / OZ,BSTL DULCE LECHE 10 K-CUP,LP402137,BS KCUP 10-12,COFFEE BS,6
29002,29002,JMSMUC,4 / 10.65 / OZ,BSTL DULCE LCHE 24 K-CUP,LP402554,BS KCUP 24,COFFEE BS,4
29008,29008,JMSMUC,6 / 3.59 / OZ,BSTL ORG NICAR BLN 12 KCP,,BS KCUP 10-12,COFFEE BS,6
29010,29010,JMSMUC,4 / 7.19 / OZ,BSTL ORG NICAR BLN 24 KCP,LP402959,BS KCUP 24,COFFEE BS,4
367,367,JMSMUC,6 / 33.9 / OZ,FG CAF GR CLASSIC ROAST,LP401254,FG GROUND 30.5-33.7 OZ,COFFEE FG,6
29011,29011,JMSMUC,4 / 8.04 / OZ,BSTL ORG BRZL BLN 24 KCP,LP402959,BS KCUP 24,COFFEE BS,4
29032,29032,JMSMUC,6 / 4.4 / OZ,BSTL CAFE VAINIL 10 K-CUP,LP402137,BS KCUP 10-12,COFFEE BS,6
29033,29033,JMSMUC,4 / 10.65 / OZ,BSTL CAFE VAINI 24 K-CUP,LP402554,BS KCUP 24,COFFEE BS,4
29041,1108,JMSMUC,6 / 7.05 / OZ,BUSTELO INSTANT,LP401576,BS INSTANT 7.5 OZ,COFFEE BS,6
29238,29238,JMSMUC,6 / 7 / OZ,FOLGERS INST ICED COFFEE,LP403841,FG INSTANT 7-8 OZ,COFFEE FG,6
5029,5029,JMSMUC,12 / 16 / OZ,LS NAT PNUT BTR SMTH,LP400989,L SCUDDERS NAT P BUT 12/16 OZ,,12
30209,30209,JMSMUC,3 / 19.2 / OZ,FOLGERS BRKFST BLND DG,LP401934,FG DG 19.2 OZ,COFFEE FG,3
30401,30401,JMSMUC,6 / 9.6 / OZ,FOLGERS CLASSIC ROAST,LP403501,FG GROUND 9.6 OZ,COFFEE FG,6
30402,30402,JMSMUC,6 / 9.6 / OZ,FOLDGERS DCFF CLS RST,LP401323,FG GROUND 9.6 OZ,COFFEE FG,6
30403,30403,JMSMUC,6 / 9.6 / OZ,FOLGERS HOUSE BLEND,LP403501,FG GROUND 9.6 OZ,COFFEE FG,6
610,50,JMSMUC,12 / 10 / OZ,CAFE BUSTELO CAN,LP401599,BS CAN 10 OZ,COFFEE BS,12
30404,30404,JMSMUC,6 / 19.2 / OZ,FOLGERS CLASSIC ROAST,LP401200,FG CLSC RST 19.2 OZ,COFFEE FG,6
30405,30404,JMSMUC,3 / 19.2 / OZ,FOLGERS CLS RST,LP401200,FG DG 19.2 OZ,COFFEE FG,3
30406,30406,JMSMUC,6 / 19.2 / OZ,FLGRS DECFF CLS RST CAN,LP401296,FG CLSC RST 19.2 OZ,COFFEE FG,6
30407,30407,JMSMUC,6 / 25.9 / OZ,FOLGERS CLASSIC ROAST,LP401272,FG GROUND 25.9 OZ,COFFEE FG,6
82586,82586,JMSMUC,6 / 26 / OZ,LS SMOOTH PNT BTR TWIN,LP400987,LS PB 26 OZ,,6
24489,19615,JMSMUC,6 / 16 / OZ,LS UNSALTED SMOOTH NAT PB,LP400989,LS PB 16 OZ,,6
30410,30410,JMSMUC,6 / 25.9 / OZ,FOLGERS DCFF CLS RST CAN,LP401269,FG GROUND 25.9 OZ,COFFEE FG,6
30411,30411,JMSMUC,6 / 25.9 / OZ,FOLGERS HOUSE BLEND,LP401272,FG GROUND 25.9 OZ,COFFEE FG,6
30418,30418,JMSMUC,6 / 33.7 / OZ,FOLGERS CLASSIC ROAST,LP401242,FG GROUND 30.5-33.7 OZ,COFFEE FG,6
30419,30419,JMSMUC,6 / 40.3 / OZ,FG CLASSIC ROAST,LP401862,FG CLSC RST 40.3 OZ,COFFEE FG,6
20,20,JMSMUC,12 / 12.25 / OZ,SMUCKER BTTRSCTCH TPPNG,LP400224,SM PB SPOONABLE,FHS SM,12
5061,5061,JMSMUC,12 / 16 / OZ,LSCD NATPNUTBTRNUTTY,LP400989,L SCUDDERS NAT P BUT 12/16 OZ,,12
30425,30425,JMSMUC,6 / 9.6 / OZ,FOLGERS BLACK SILK,LP401328,FG GROUND 9.6 OZ,COFFEE FG,6
30427,30427,JMSMUC,6 / 9.6 / OZ,FOLGERS BREAKFAST BLEND,LP401328,FG GROUND 9.6 OZ,COFFEE FG,6
30428,30428,JMSMUC,6 / 9.6 / OZ,FOLGERS COFFEHSE BLEND,LP401328,FG GROUND 9.6 OZ,COFFEE FG,6
30429,30429,JMSMUC,6 / 9.6 / OZ,FOLGERS FRENCH ROAST,LP401328,FG GROUND 9.6 OZ,COFFEE FG,6
30430,30430,JMSMUC,6 / 9.6 / OZ,FOLGERS GOURMET SUPREME,LP401328,FG GROUND 9.6 OZ,COFFEE FG,6
30431,30431,JMSMUC,6 / 9.6 / OZ,FOLGERS HALF CAFFEINE,LP401328,FG GROUND 9.6 OZ,COFFEE FG,6
30432,30432,JMSMUC,6 / 9.6 / OZ,FOLGERS COLUMBIAN,LP403851,FG GROUND 9.6 OZ,COFFEE FG,6
30433,30433,JMSMUC,3 / 19.2 / OZ,FG BLACK SILK,LP401934,FG DG 19.2 OZ,COFFEE FG,3
30435,30435,JMSMUC,3 / 19.2 / OZ,FG BRKFST BLEND,LP401934,FG DG 19.2 OZ,COFFEE FG,3
30436,30436,JMSMUC,3 / 19.2 / OZ,FG GOURMET SUPRM,LP401934,FG DG 19.2 OZ,COFFEE FG,3
622,622,JMSMUC,4 / 2.75 / OZ,MM PLTRY BF FVT VP 12PK,LP400850,MM WET VP 12 CT 2.75 OZ,PET MM,4
30437,30437,JMSMUC,3 / 19.2 / OZ,FG HALF CAFF DG,LP401934,FG DG 19.2 OZ,COFFEE FG,3
30438,30438,JMSMUC,3 / 19.2 / OZ,FG COLOMBIAN,LP403788,FG DG 19.2 OZ,COFFEE FG,3
30439,30439,JMSMUC,6 / 22.6 / OZ,FOLGERS BLACK SILK,LP401284,FG GROUND 22.6 OZ,COFFEE FG,6
30440,30440,JMSMUC,6 / 22.6 / OZ,FOLGERS BREAKFAST BLEND,LP401284,FG GROUND 22.6 OZ,COFFEE FG,6
30441,30441,JMSMUC,6 / 22.6 / OZ,FOLGERS COFFEHSE BLND,LP401284,FG GROUND 22.6 OZ,COFFEE FG,6
30442,30442,JMSMUC,6 / 22.6 / OZ,FOLGERS FRENCH ROAST,LP401284,FG GROUND 22.6 OZ,COFFEE FG,6
30443,30443,JMSMUC,6 / 22.6 / OZ,FLGRS CAN GOURMET SUPREME,LP401284,FG GROUND 22.6 OZ,COFFEE FG,6
30444,30444,JMSMUC,6 / 22.6 / OZ,FOLGERS HALF CAFF,LP401284,FG GROUND 22.6 OZ,COFFEE FG,6
30445,30445,JMSMUC,6 / 22.6 / OZ,FOLGERS COLOMBIAN,LP403789,FG GROUND 22.6 OZ,COFFEE FG,6
30446,30446,JMSMUC,6 / 27 / OZ,FOLGERS SIMPLY SMOOTH,LP403395,FG GROUND 25.9 OZ,COFFEE FG,6
634,1720,JMSMUC,12 / 10 / OZ,BUSTELO BRICK,LP401606,BS CAN 10 OZ,COFFEE BS,12
30447,30447,JMSMUC,6 / 33.7 / OZ,FG BLACK SILK,LP402057,FG GROUND 30.5-33.7 OZ,COFFEE FG,6
30449,30449,JMSMUC,6 / 33.7 / OZ,FG BRKFST BLEND,LP402491,FG GROUND 30.5-33.7 OZ,COFFEE FG,6
30451,30451,JMSMUC,6 / 33.7 / OZ,FG COLOMBIAN,LP402056,FG GROUND 30.5-33.7 OZ,COFFEE FG,6
30840,30840,JMSMUC,6 / 11 / OZ,MKB FLV ROLLS BF CHS DT,LP403779,MKB TRAIL MIX 8 - 9 OZ,PET MKB,6
30858,30858,JMSMUC,6 / 3.7 / OZ,BS LIGHT RST 10 CT KCUP,LP404720,CAFE BUSTELO K CUP 10 CT,COFFEE BS,6
31141,31141,JMSMUC,2 / 18 / OZ,MKB S&C CHKN MINI DG TRT,LP403767,MKB SFOT CHWY M INI 18 OZ,PET MKB,2
91,91,JMSMUC,12 / 2 / OZ,MED D ORA INSTANT JAR,LP400979,MDO INSTANT 2 OZ,,12
31677,31677,JMSMUC,6 / 8 / OZ,MKB PMK SPC BSCT SML PCH,LP403579,MKB TRAIL MIX 8 - 9 OZ,PET MKB,6
31889,31889,JMSMUC,2 / 40 / OZ,MKB MARO SEASONSAL DG TRT,LP403776,MKB MARO SNCKS 40 OZ,PET MKB,2
00078B,78,JMSMUC,12 / 10 / OZ,MEDAGLIA D ORO REG CANS,LP400982,MEDAGLIA D ORO REG CAN 6/10 OZ,,12
80,80,JMSMUC,8 / 17 / OZ,MEDAGLIA DOOO WHOLE BEAN,,MDO WHOLE BEAN 17 OZ,,8
75528,,JMSMUC,36 / 3 / OZ,MEOW MIX IRRESISTIBLES FS,,PET SHIPPERS/DISPLAY/PALLETS,,36
32181,32181,JMSMUC,8 / 4.2 / OZ,FOLGERS BTRY CRML LTT STK,LP403840,FG LATTE STICKS 4.2 OZ,COFFEE FG,8
62482,51705,JMSMUC,4 / 33 / OZ,MEOW MIX PTE S&T VAR 12PK,LP400850,MEOW MX 4/33 OZ,,4
33513,33513,JMSMUC,3 / 19.2 / OZ,FG CLASSIC ROAST DG,LP401200,FG DG 19.2 OZ,COFFEE FG,3
76201,76178,JMSMUC,4 / 33 / OZ,MEOW MIX TL VARP 12PK,LP400850,MEOW MX 4/33 OZ,,4
33740,33740,JMSMUC,6 / 40 / OZ,BSTL SWT MS RTD ESPR CFFE,LP403865,BS RTD ESPR COFFEE 40 FO,COFFEE BS,6
27359,27359,JMSMUC,10 / 2.85 / OZ,MILK-BONE ADVNET CALENDAR,LP403887,DISPLAY ONLY ITEMS,,10
92822,,JMSMUC,34 / 24 / OZ,MILK-BONE MIXED DISPLAY,LP401944,PET SHIPPERS/DISPLAY/PALLETS,,34
34287,34287,JMSMUC,1 / 14.2 / LB,MM TC BSTD BTS CHKN TNA,LP404523,MM TENDER CENTERS PLT 14.2 LB,PET MM,1
35467,35467,JMSMUC,4 / 10 / OZ,MKB STRW BSCT VAN YOG DIP,LP403547,MKB SNCKS 32 OZ,PET MKB,4
655,655,JMSMUC,6 / 11 / OZ,DN GR WHT CHOC PEPPERMINT,LP402982,DN PPK BAG FLVRD 11 OZ,COFFEE DN,6
35608,35608,JMSMUC,10 / 2.5 / OZ,MKB VAL MINI BSCT BAG,LP403623,MKB ALT RWHD 13.2-19.2 OZ,PET MKB,10
35611,35611,JMSMUC,6 / 2.8 / OZ,FLGRS BLACK SILK 10CT KCP,LP404476,FG GROUND 24.2-25.4 OZ,COFFEE FG,6
76429,,JMSMUC,34 / 24 / OZ,MILK-BONE MIXED FLOORSTND,LP403265,PET SHIPPERS/DISPLAY/PALLETS,,34
50893,50893,JMSMUC,4 / 18 / OZ,MK BEEF SASAGE SLCS RICE,LP400975,MK FLV OTHER LRG 12.5-18 OZ,,4
52775,52775,JMSMUC,5 / 10 / OZ,MK BEEF SSG SLICES RICE,LP400971,MK 10 OZ,,5
37434,1105,JMSMUC,6 / 3.5 / OZ,BUSTELO  INST CFFE DECAF,LP401589,BS FRZ DRIED INST 3.52 OZ,COFFEE BS,6
37586,37586,JMSMUC,10 / 5.6 / OZ,MILK-BONE S&C BACON,LP400903,MKB SOFT CHWY 5.6 OZ,PET MKB,10
38143,163,JMSMUC,8 / 32 / OZ,SUMCKERS STRAW JAM,LP400153,SM PLTSCPRS ASST 19 OZ,FHS SM,8
52778,52778,JMSMUC,5 / 8.5 / OZ,MK CHCKN JERKY,LP400971,MILOS KITCHN 5/8.5 OZ,,5
39603,39603,JMSMUC,6 / 25 / OZ,MKB FLVSNK MINI PRDE BSCT,LP403625,MKB GRN FR BISCUITS 22 OZ,PET MKB,6
656,656,JMSMUC,6 / 11 / OZ,DUNKIN CAF GR SMORES,LP403657,DN PPK BAG FLVRD 11 OZ,COFFEE DN,6
40175,40175,JMSMUC,6 / 3.7 / OZ,CAFE BSTL EXPRSS 10CT KCP,LP404518,BS EXPRS KC 3.7 OZ,COFFEE BS,6
40225,40225,JMSMUC,4 / 22.5 / OZ,CCO SNG IAB BF&CH,LP401547,CANINE CARRY OUTS 4/22.5 OZ,PET CCO,4
40860,40860,JMSMUC,1 / 13.5 / LB,MEOW MIX GVY BURST CHKN,LP404522,MM TC DRY LARGE BAG 13.5 OZ,PET MM,1
41495,41495,JMSMUC,4 / 3 / LB,MM GRAVY BURSTS SALMON,,MM GRAVY BURST CK/SALM 4/3 LB,PET MM,4
41556,41556,JMSMUC,20 / 2.5 / OZ,MKB FLV SNK MINI BISC HOL,,MKB HOLIDAY,PET MKB,20
14901,14901,JMSMUC,4 / 18 / OZ,MK CHCKN SAUSG SLCD APL,LP400975,MK FLV OTHER LRG 12.5-18 OZ,,4
51924,51924,JMSMUC,4 / 15 / OZ,MK CHICKEN JERKY STRIPS,LP400975,MK FLV OTHER LRG 12.5-18 OZ,,4
7972,7972,JMSMUC,4 / 28 / OZ,MK CHICKEN MEATBALL,LP403456,MK 28 OZ,,4
50890,50890,JMSMUC,4 / 18 / OZ,MK MEATBALL,LP400975,MK FLV OTHER LRG 12.5-18 OZ,,4
42387,42387,JMSMUC,6 / 3.1 / OZ,FLGRS TSTY HZLNT 10CT KCP,LP404476,FG TSTY HZLNT KC 10-6/3.1 OZ,COFFEE FG,6
52774,52774,JMSMUC,5 / 10 / OZ,MK MEATBALLS,LP400971,MK 10 OZ,,5
43045,43045,JMSMUC,15 / 2.2 / OZ,MKB FLV ROLLS BF CHS DT,LP403778,MKB ROLL 2.2 OZ,PET MKB,15
43208,52994,JMSMUC,6 / 24 / OZ,MKB PBTR 3FLV VAR SM,LP403690,MKB GRN FR BISCUITS 22 OZ,PET MKB,6
51822,51822,JMSMUC,4 / 18 / OZ,MK STEAK GRILLER,LP400975,MK FLV OTHER LRG 12.5-18 OZ,,4
43570,43570,JMSMUC,6 / 25 / OZ,MILK-BONE SMPL S&C CHKN,LP403560,MKB GRN FR BISCUITS 22 OZ,PET MKB,6
52776,52776,JMSMUC,5 / 10 / OZ,MK STEAK GRILLERS,LP400971,MK 10 OZ,,5
78558,78558,JMSMUC,5 / 19.6 / OZ,MKB 1BC SMMD VL,LP402129,MILK BONE 5/19.6 OZ,PET MKB,5
44642,44642,JMSMUC,9 / 10 / OZ,MKB STKD CAROB PBTR DT,LP403589,MKB MARO 25 OZ,PET MKB,9
45090,45090,JMSMUC,4 / 2.75 / OZ,MM SEAFD FVT VP 12PK,LP400850,MM WET VP 12 CT 2.75 OZ,PET MM,4
45097,45097,JMSMUC,12 / 2.1 / OZ,MM TRTR CNTR OCN EXPL TRT,LP400856,MM PCH 2.1 OZ,PET MM,12
49780,49780,JMSMUC,8 / 8 / OZ,MKB APPLE CIN SM BSCT BAG,LP403879,MILK BONE 1/8 OZ,PET MKB,8
80760,,JMSMUC,20 / 1 / EA,MKB CMFT CHEW DISPLAY,LP403679,PET SHIPPERS/DISPLAY/PALLETS,PET MKB,20
